latitude,longitude,resolvedAddress,address,timezone,tzoffset,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,datetime_hourly,datetimeEpoch_hourly,temp_hourly,feelslike_hourly,humidity_hourly,dew_hourly,precip_hourly,precipprob_hourly,snow_hourly,snowdepth_hourly,preciptype_hourly,windgust_hourly,windspeed_hourly,winddir_hourly,pressure_hourly,visibility_hourly,cloudcover_hourly,solarradiation_hourly,solarenergy_hourly,uvindex_hourly,severerisk_hourly,conditions_hourly,icon_hourly,stations_hourly,source_hourly
49.4407,32.0637,"Черкаси, Україна","Cherkasy,Ukraine",Europe/Kiev,3.0,2024-04-21,1713646800,16.444444444444446,6.833333333333332,11.333333333333334,16.444444444444446,2.8333333333333344,9.888888888888888,48.0,84.9,1.115,100.0,75.0,['rain'],0.0,0.0,30.4,16.8,16.5,1002.1,97.6,12.3,128.6,11.2,8.0,10.0,05:47:30,1713667650,19:54:21,1713718461,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],comb,2024-04-21 11:00:00,1713686400,57.1,57.1,80.51,51.2,0.0,0.0,0.0,0.0,0,18.8,6.7,156.3,1000.0,15.0,99.2,660.0,2.4,7.0,10.0,Overcast,cloudy,['remote'],obs
49.4407,32.0637,"Черкаси, Україна","Cherkasy,Ukraine",Europe/Kiev,3.0,2024-04-21,1713646800,16.444444444444446,6.833333333333332,11.333333333333334,16.444444444444446,2.8333333333333344,9.888888888888888,48.0,84.9,1.115,100.0,75.0,['rain'],0.0,0.0,30.4,16.8,16.5,1002.1,97.6,12.3,128.6,11.2,8.0,10.0,05:47:30,1713667650,19:54:21,1713718461,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],comb,2024-04-21 12:00:00,1713690000,59.6,59.6,78.08,52.8,0.004,87.1,0.0,0.0,['rain'],18.6,8.3,152.2,1000.0,15.0,89.1,758.0,2.7,8.0,10.0,"Rain, Partially cloudy",rain,[],fcst
49.4407,32.0637,"Черкаси, Україна","Cherkasy,Ukraine",Europe/Kiev,3.0,2024-04-21,1713646800,16.444444444444446,6.833333333333332,11.333333333333334,16.444444444444446,2.8333333333333344,9.888888888888888,48.0,84.9,1.115,100.0,75.0,['rain'],0.0,0.0,30.4,16.8,16.5,1002.1,97.6,12.3,128.6,11.2,8.0,10.0,05:47:30,1713667650,19:54:21,1713718461,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],comb,2024-04-21 13:00:00,1713693600,61.1,61.1,76.17,53.5,0.008,87.1,0.0,0.0,['rain'],20.8,7.6,154.5,1000.0,5.6,77.4,800.0,2.9,8.0,10.0,"Rain, Partially cloudy",rain,0,fcst
49.4407,32.0637,"Черкаси, Україна","Cherkasy,Ukraine",Europe/Kiev,3.0,2024-04-21,1713646800,16.444444444444446,6.833333333333332,11.333333333333334,16.444444444444446,2.8333333333333344,9.888888888888888,48.0,84.9,1.115,100.0,75.0,['rain'],0.0,0.0,30.4,16.8,16.5,1002.1,97.6,12.3,128.6,11.2,8.0,10.0,05:47:30,1713667650,19:54:21,1713718461,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],comb,2024-04-21 14:00:00,1713697200,61.6,61.6,74.24,53.3,0.004,87.1,0.0,0.0,['rain'],20.4,6.3,141.5,1000.0,15.0,86.1,80.0,0.3,1.0,10.0,"Rain, Partially cloudy",rain,0,fcst
49.4407,32.0637,"Черкаси, Україна","Cherkasy,Ukraine",Europe/Kiev,3.0,2024-04-21,1713646800,16.444444444444446,6.833333333333332,11.333333333333334,16.444444444444446,2.8333333333333344,9.888888888888888,48.0,84.9,1.115,100.0,75.0,['rain'],0.0,0.0,30.4,16.8,16.5,1002.1,97.6,12.3,128.6,11.2,8.0,10.0,05:47:30,1713667650,19:54:21,1713718461,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],comb,2024-04-21 15:00:00,1713700800,60.0,60.0,80.72,54.1,0.031,87.1,0.0,0.0,['rain'],18.8,6.7,110.7,1000.0,15.0,93.7,78.0,0.3,1.0,10.0,"Rain, Overcast",rain,0,fcst
49.4407,32.0637,"Черкаси, Україна","Cherkasy,Ukraine",Europe/Kiev,3.0,2024-04-21,1713646800,16.444444444444446,6.833333333333332,11.333333333333334,16.444444444444446,2.8333333333333344,9.888888888888888,48.0,84.9,1.115,100.0,75.0,['rain'],0.0,0.0,30.4,16.8,16.5,1002.1,97.6,12.3,128.6,11.2,8.0,10.0,05:47:30,1713667650,19:54:21,1713718461,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],comb,2024-04-21 16:00:00,1713704400,59.1,59.1,85.57,54.8,0.067,96.8,0.0,0.0,['rain'],17.2,5.6,87.1,1000.0,15.0,100.0,62.0,0.2,1.0,10.0,"Rain, Overcast",rain,0,fcst
49.4407,32.0637,"Черкаси, Україна","Cherkasy,Ukraine",Europe/Kiev,3.0,2024-04-21,1713646800,16.444444444444446,6.833333333333332,11.333333333333334,16.444444444444446,2.8333333333333344,9.888888888888888,48.0,84.9,1.115,100.0,75.0,['rain'],0.0,0.0,30.4,16.8,16.5,1002.1,97.6,12.3,128.6,11.2,8.0,10.0,05:47:30,1713667650,19:54:21,1713718461,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],comb,2024-04-21 17:00:00,1713708000,58.4,58.4,88.38,54.9,0.071,96.8,0.0,0.0,['rain'],15.7,1.8,131.9,1000.0,10.1,100.0,399.0,1.4,4.0,10.0,"Rain, Overcast",rain,0,fcst
49.4407,32.0637,"Черкаси, Україна","Cherkasy,Ukraine",Europe/Kiev,3.0,2024-04-21,1713646800,16.444444444444446,6.833333333333332,11.333333333333334,16.444444444444446,2.8333333333333344,9.888888888888888,48.0,84.9,1.115,100.0,75.0,['rain'],0.0,0.0,30.4,16.8,16.5,1002.1,97.6,12.3,128.6,11.2,8.0,10.0,05:47:30,1713667650,19:54:21,1713718461,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],comb,2024-04-21 18:00:00,1713711600,54.9,54.9,89.4,51.9,0.126,96.8,0.0,0.0,['rain'],21.3,11.6,275.5,1000.0,15.0,100.0,82.0,0.3,1.0,10.0,"Rain, Overcast",rain,0,fcst
49.4407,32.0637,"Черкаси, Україна","Cherkasy,Ukraine",Europe/Kiev,3.0,2024-04-21,1713646800,16.444444444444446,6.833333333333332,11.333333333333334,16.444444444444446,2.8333333333333344,9.888888888888888,48.0,84.9,1.115,100.0,75.0,['rain'],0.0,0.0,30.4,16.8,16.5,1002.1,97.6,12.3,128.6,11.2,8.0,10.0,05:47:30,1713667650,19:54:21,1713718461,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],comb,2024-04-21 19:00:00,1713715200,50.4,50.4,89.81,47.6,0.035,96.8,0.0,0.0,['rain'],26.2,15.0,296.9,1000.0,15.0,100.0,54.0,0.2,1.0,10.0,"Rain, Overcast",rain,0,fcst
49.4407,32.0637,"Черкаси, Україна","Cherkasy,Ukraine",Europe/Kiev,3.0,2024-04-21,1713646800,16.444444444444446,6.833333333333332,11.333333333333334,16.444444444444446,2.8333333333333344,9.888888888888888,48.0,84.9,1.115,100.0,75.0,['rain'],0.0,0.0,30.4,16.8,16.5,1002.1,97.6,12.3,128.6,11.2,8.0,10.0,05:47:30,1713667650,19:54:21,1713718461,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],comb,2024-04-21 20:00:00,1713718800,48.3,42.7,88.5,45.0,0.024,96.8,0.0,0.0,['rain'],25.9,13.9,286.4,1002.0,15.0,100.0,0.0,0.0,0.0,10.0,"Rain, Overcast",rain,0,fcst
